startsAt,open,high,low,close,volume,quoteVolume
1542495600,175.15000003,176.65878538,175.15000003,176.65869732,1.01735504,178.47761149
1542499200,176.51790334,176.79486112,175.17001004,176.79486112,2.22560399,393.24679235
1542502800,176.79486112,177.29997256,175.70015898,175.80314782,514.16436105,90356.15379813
1542506400,177.29999877,178.23236189,176.11626195,178.20000000,33.62414538,5976.34640029
1542510000,178.23236189,179.74676145,178.23236189,179.34156468,82.73525252,14825.54410076
1542513600,178.90000000,179.16176624,178.23236189,178.23236189,519.91365080,93135.15472011
1542517200,178.23236189,178.23236189,178.23236189,178.23236189,0,0
1542520800,178.23236189,178.23236190,178.23236189,178.23236190,2.22121544,395.89247411
1542524400,179.52411218,179.76420804,178.36186015,179.12160207,53.52589906,9603.79164214
1542528000,179.03995244,179.03995244,177.27247368,177.27247368,7.80972873,1395.56325800
1542531600,177.27247389,178.79534795,177.27247389,178.51889654,9.25820819,1646.60664553
1542535200,178.33840324,178.39809288,176.16154021,176.97281900,44.97242226,7958.33016055
1542538800,176.97281900,177.42467008,176.50000001,176.50000001,4.12727783,729.57135838
1542542400,176.50000002,178.10746007,176.50000002,178.07999958,0.98385201,175.17028208
1542546000,178.07999958,178.07999999,176.90000002,176.90000002,14.03321024,2485.94293870
1542549600,176.90000002,177.00000000,176.90000002,177.00000000,7.10681503,1257.66438512
1542553200,177.00000000,178.01842595,177.00000000,177.93758913,37.47377086,6653.43271762
1542556800,177.93229443,178.99188951,177.06692801,178.47897760,63.64376260,11332.43166582
1542560400,178.47897760,178.47897760,176.29993017,177.62537242,18.83532208,3338.99073531
1542564000,177.62536521,180.78031095,176.33990464,180.78031095,65.18501058,11687.10504373
1542567600,180.69510174,182.59263356,179.97648146,180.54742000,52.90253277,9587.40985290
1542571200,180.53738448,180.53738448,178.00000000,178.00000000,66.21264729,11811.84338972
1542574800,177.94094968,178.39864948,177.00000002,178.24803117,15.48211871,2759.25401094
1542578400,177.20000001,177.20000001,177.00000002,177.00000002,4.86244925,861.47880242
1542582000,177.93460571,177.93460571,177.93460570,177.93460571,23.52514220,4185.93690158
1542585600,178.96087702,178.96087702,178.28210155,178.35426295,6.97813706,1245.66809294
1542589200,177.07679390,177.07679390,173.14068976,173.63037929,1720.87225621,298958.48992718
1542592800,173.45379208,174.07097351,170.00000000,170.93584932,181.99225709,31203.60377302
1542596400,170.41974075,172.31609978,170.35159302,171.65356210,18.99842734,3257.18217382
1542600000,171.54765114,172.48449328,169.30000000,169.80000000,573.00653412,97927.59085460
1542603600,170.80807241,170.80807241,162.02837097,165.85742614,1155.61890025,194246.94027824
1542607200,165.79717436,165.79717436,162.70000003,164.39698090,275.17299065,45288.95782542
1542610800,163.50000000,164.21597368,162.00000000,162.25769031,52.23011593,8499.51903087
1542614400,162.20000000,162.30720271,154.00000000,157.12498438,1188.24053592,186618.63390785
1542618000,158.45649683,158.45649683,155.11151545,155.96703005,471.53055548,73639.47555268
1542621600,155.81641490,160.90271883,155.81641490,160.34054087,107.90444013,17141.25821420
1542625200,160.34054087,160.51560804,156.25257430,158.15821343,560.12236764,87991.48270577
1542628800,157.07517932,159.15526085,156.57712878,157.24809819,39.05041381,6174.93613462
1542632400,156.60704716,157.91179317,153.49917645,156.05126697,667.73170301,104032.50540681
1542636000,156.32284408,157.59366861,154.62312815,157.21600000,782.79786386,122708.26171863
1542639600,157.31847318,158.33664000,155.00000003,156.73541801,2326.28998005,364242.48529331
