Name	Emittent	ISIN
GLOBAL X DT CENTER REITS&DGTL INFRAS ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5Y327 
GLOBAL X E-COMMERCE ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5XY61 
GLOBAL X FINTECH ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJZ35 
GLOBAL X GENOMICS & BIOTECHNOLOGY ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BM8R0N95 
GLOBAL X INTERNET OF THINGS ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJT74 
GLOBAL X LITHIUM & BATTERY TECH ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJN13 
GLOBAL X RENEWABLE ENERGY PRODUCERS ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJH52 
GLOBAL X ROBOTICS & ARTFCL INTLLGNC ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJB90 
GLOBAL X SUPERDIVIDEND ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00077FRP95
GLOBAL X U.S. INFRASTRUCTURE DEVPMT ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BLCHJ534 
GR F.OF F E.G.F DLA 	HANetf Management Ltd. 	IE000TVPSRI1 
HANETF U.S. GLOBAL JETS ETF 	HANetf Management Ltd. 	IE00BN76Y761 
HANETF-ELVECHIN DLA 	HANetf Management Ltd. 	IE000HMSHYJ6 
HANETF-ETC GG MTVS ETFDLA 	HANetf Management Ltd. 	IE000KDY10O3 
HMAAPE-J.C.P.A. DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000XFORJ80 
HSBC ASIA PACIFIC EX JAPAN SUST EQ ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BKY58G26 
HSBC BLMBRG GBL SUST AGGT 1-3 YR BD ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE000XGNMWE1 
HSBC BLOOMBERG EUR SUST CORP BD ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BKY81B71 
HSBC BLOOMBERG USD SUST CORP BD ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BKY81627 
HSBC EMERGING MARKET SUSTAINABLE EQ ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BKY59G90 
HSBC EPRA/NARE DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000G6GSP88 
